episode,mean_reward,max_reward,min_reward,std_reward,mean_episode_length,collision_rate,success_rate,mean_travel_time_s,total_collisions,total_successes,steps_per_sec,episodes_per_sec,elapsed_sec,mean_train_loss,success_rate/left,collision_rate/left,success_rate/straight,collision_rate/straight,success_rate/right,collision_rate/right,success_rate/scenario_a,success_rate/scenario_b,success_rate/scenario_c,success_rate/scenario_d,success_rate/scenario_e,success_rate/scenario_f,success_rate/scenario_g,success_rate/scenario_h,success_rate/scenario_i
110,2.72499680519104,27.049997329711914,-534.7999877929688,54.39802551269531,278.5,0.009999999776482582,1.0,27.850000381469727,2.0,110.0,79.57917022705078,0.3885701596736908,316.9313049316406,1.869825005531311,1.0,0.05263157933950424,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
120,-2.4225029945373535,27.049997329711914,-534.7999877929688,75.9925308227539,276.1499938964844,0.019999999552965164,0.9900000095367432,27.679000854492188,3.0,119.0,175.86187744140625,0.4293502867221832,340.2223205566406,1.9667599201202393,1.0,0.0476190485060215,0.9729729890823364,0.027027027681469917,1.0,0.0,1.0,0.9285714030265808,1.0,1.0,1.0,1.0,1.0,1.0,1.0
130,-7.297002792358398,27.049997329711914,-534.9500122070312,92.74081420898438,271.9800109863281,0.029999999329447746,0.9900000095367432,27.275999069213867,4.0,129.0,82.57935333251953,0.4032194912433624,365.022705078125,2.0771496295928955,1.0,0.06666667014360428,0.9756097793579102,0.024390242993831635,1.0,0.0,1.0,0.9333333373069763,1.0,1.0,1.0,1.0,1.0,1.0,1.0
140,-6.832003116607666,27.049997329711914,-534.9500122070312,92.81573486328125,268.8800048828125,0.029999999329447746,0.9900000095367432,26.937999725341797,4.0,139.0,78.82129669189453,0.38486960530281067,391.0055236816406,2.064669609069824,1.0,0.056603774428367615,0.976190447807312,0.02380952425301075,1.0,0.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150,-5.957502841949463,27.049997329711914,-534.9500122070312,92.70259857177734,263.04998779296875,0.029999999329447746,0.9800000190734863,26.554000854492188,5.0,148.0,90.80658721923828,0.4433915317058563,413.5589599609375,2.158536434173584,0.9824561476707458,0.07017543911933899,0.9772727489471436,0.022727273404598236,1.0,0.0,1.0,0.9411764740943909,1.0,1.0,1.0,1.0,0.9375,1.0,1.0
160,-10.965502738952637,27.049997329711914,-534.9500122070312,106.60294342041016,259.7699890136719,0.03999999910593033,0.9800000190734863,26.128000259399414,6.0,158.0,77.46930694580078,0.37826812267303467,439.9952392578125,2.1433472633361816,0.9836065769195557,0.08196721225976944,0.97826087474823,0.021739130839705467,1.0,0.0,1.0,0.9444444179534912,1.0,1.0,1.0,1.0,0.9444444179534912,1.0,1.0
170,-10.283002853393555,27.049997329711914,-534.9500122070312,106.7269515991211,255.22000122070312,0.03999999910593033,0.9800000190734863,25.7450008392334,6.0,168.0,79.1406478881836,0.38642895221710205,465.87322998046875,2.212733745574951,0.984375,0.078125,0.9795918464660645,0.020408162847161293,1.0,0.0,1.0,0.9473684430122375,1.0,1.0,1.0,1.0,0.9473684430122375,1.0,1.0
180,-15.53100299835205,27.049997329711914,-534.9500122070312,118.79708862304688,253.5399932861328,0.05000000074505806,0.9800000190734863,25.43000030517578,7.0,178.0,151.59323120117188,0.37010064721107483,492.8929138183594,2.181532144546509,0.9852941036224365,0.0882352963089943,0.9807692170143127,0.01923076994717121,1.0,0.0,1.0,0.949999988079071,1.0,1.0,1.0,1.0,0.949999988079071,1.0,1.0
190,-15.297002792358398,27.049997329711914,-534.9500122070312,118.846435546875,251.97999572753906,0.05000000074505806,0.9800000190734863,25.35300064086914,7.0,188.0,86.09194946289062,0.42037081718444824,516.6814575195312,2.236786365509033,0.98591548204422,0.0845070406794548,0.9821428656578064,0.01785714365541935,1.0,0.0,1.0,0.949999988079071,1.0,1.0,1.0,1.0,0.949999988079071,1.0,1.0
200,-15.645002365112305,22.39999771118164,-534.9500122070312,118.78462219238281,254.3000030517578,0.05000000074505806,0.9800000190734863,25.652000427246094,7.0,198.0,144.21701049804688,0.35209229588508606,545.0830688476562,2.1891884803771973,0.9866666793823242,0.07999999821186066,0.9824561476707458,0.017543859779834747,1.0,0.0,1.0,0.949999988079071,1.0,1.0,1.0,1.0,0.949999988079071,1.0,1.0
